hpi_type,hpi_flavor,frequency,level,place_name,place_id,yr,period,index_nsa,index_sa
traditional,purchase-only,quarterly,MSA,"Akron, OH",10420,1991,1,100,100
traditional,purchase-only,quarterly,MSA,"Akron, OH",10420,1991,2,102.47,101.19
traditional,purchase-only,quarterly,MSA,"Akron, OH",10420,1991,3,101.98,101.39
traditional,purchase-only,quarterly,MSA,"Akron, OH",10420,1991,4,103.05,103.09
traditional,purchase-only,quarterly,MSA,"Akron, OH",10420,1992,1,104.55,104.54
traditional,purchase-only,quarterly,MSA,"Akron, OH",10420,1992,2,106.86,105.53
traditional,purchase-only,quarterly,MSA,"Akron, OH",10420,1992,3,108.21,107.55
traditional,purchase-only,quarterly,MSA,"Akron, OH",10420,1992,4,108.77,108.86
traditional,purchase-only,quarterly,MSA,"Akron, OH",10420,1993,1,110.31,110.24
traditional,purchase-only,quarterly,MSA,"Akron, OH",10420,1993,2,112.66,111.35
traditional,purchase-only,quarterly,MSA,"Akron, OH",10420,1993,3,113.61,112.82
traditional,purchase-only,quarterly,MSA,"Akron, OH",10420,1993,4,114.31,114.48
traditional,purchase-only,quarterly,MSA,"Akron, OH",10420,1994,1,114.61,114.44
traditional,purchase-only,quarterly,MSA,"Akron, OH",10420,1994,2,119.54,118.27
traditional,purchase-only,quarterly,MSA,"Akron, OH",10420,1994,3,119.76,118.85
traditional,purchase-only,quarterly,MSA,"Akron, OH",10420,1994,4,119.54,119.73
traditional,purchase-only,quarterly,MSA,"Akron, OH",10420,1995,1,121.89,121.68
traditional,purchase-only,quarterly,MSA,"Akron, OH",10420,1995,2,123.88,122.66
traditional,purchase-only,quarterly,MSA,"Akron, OH",10420,1995,3,125.19,124.18
traditional,purchase-only,quarterly,MSA,"Akron, OH",10420,1995,4,124.9,125.08
traditional,purchase-only,quarterly,MSA,"Akron, OH",10420,1996,1,128.56,128.31
traditional,purchase-only,quarterly,MSA,"Akron, OH",10420,1996,2,128.88,127.67
traditional,purchase-only,quarterly,MSA,"Akron, OH",10420,1996,3,132.23,131.21
traditional,purchase-only,quarterly,MSA,"Akron, OH",10420,1996,4,131.47,131.52
traditional,purchase-only,quarterly,MSA,"Akron, OH",10420,1997,1,131.91,131.75
traditional,purchase-only,quarterly,MSA,"Akron, OH",10420,1997,2,132.96,131.73
traditional,purchase-only,quarterly,MSA,"Akron, OH",10420,1997,3,133.9,132.89
traditional,purchase-only,quarterly,MSA,"Akron, OH",10420,1997,4,135.74,135.62
traditional,purchase-only,quarterly,MSA,"Akron, OH",10420,1998,1,136.4,136.42
traditional,purchase-only,quarterly,MSA,"Akron, OH",10420,1998,2,139.66,138.31
traditional,purchase-only,quarterly,MSA,"Akron, OH",10420,1998,3,140.08,139.07
traditional,purchase-only,quarterly,MSA,"Akron, OH",10420,1998,4,140.49,140.13
traditional,purchase-only,quarterly,MSA,"Akron, OH",10420,1999,1,143.11,143.44
traditional,purchase-only,quarterly,MSA,"Akron, OH",10420,1999,2,146.14,144.58
traditional,purchase-only,quarterly,MSA,"Akron, OH",10420,1999,3,146.35,145.3
traditional,purchase-only,quarterly,MSA,"Akron, OH",10420,1999,4,147.62,147.16
traditional,purchase-only,quarterly,MSA,"Akron, OH",10420,2000,1,146.04,146.55
traditional,purchase-only,quarterly,MSA,"Akron, OH",10420,2000,2,150.41,148.75
traditional,purchase-only,quarterly,MSA,"Akron, OH",10420,2000,3,151.93,150.78
traditional,purchase-only,quarterly,MSA,"Akron, OH",10420,2000,4,152.22,151.76
traditional,purchase-only,quarterly,MSA,"Akron, OH",10420,2001,1,152.16,152.73
traditional,purchase-only,quarterly,MSA,"Akron, OH",10420,2001,2,156.6,154.94
traditional,purchase-only,quarterly,MSA,"Akron, OH",10420,2001,3,155.63,154.27
traditional,purchase-only,quarterly,MSA,"Akron, OH",10420,2001,4,159.08,158.76
traditional,purchase-only,quarterly,MSA,"Akron, OH",10420,2002,1,156.52,157.03
traditional,purchase-only,quarterly,MSA,"Akron, OH",10420,2002,2,159.96,158.33
traditional,purchase-only,quarterly,MSA,"Akron, OH",10420,2002,3,160.45,158.92
traditional,purchase-only,quarterly,MSA,"Akron, OH",10420,2002,4,160.91,160.74
traditional,purchase-only,quarterly,MSA,"Akron, OH",10420,2003,1,162.68,163.12
traditional,purchase-only,quarterly,MSA,"Akron, OH",10420,2003,2,165.13,163.49
traditional,purchase-only,quarterly,MSA,"Akron, OH",10420,2003,3,167.85,166.12
traditional,purchase-only,quarterly,MSA,"Akron, OH",10420,2003,4,166.5,166.54
traditional,purchase-only,quarterly,MSA,"Akron, OH",10420,2004,1,167.36,167.72
traditional,purchase-only,quarterly,MSA,"Akron, OH",10420,2004,2,168.37,166.65
traditional,purchase-only,quarterly,MSA,"Akron, OH",10420,2004,3,170.22,168.41
